departure date,arrival date,train type,price,train class,fare
2019-05-06 12:20:00,2019-05-06 18:52:00,LD-MD,34.35,Turista con enlace,Promo +
2019-05-06 14:40:00,2019-05-06 18:33:00,AVE-MD,38.75,Turista con enlace,Promo +
2019-05-06 17:30:00,2019-05-06 21:33:00,ALVIA,33.5,Turista,Promo
2019-05-06 22:14:00,2019-05-07 04:31:00,TRENHOTEL,45.8,Turista,Flexible
2019-05-05 14:40:00,2019-05-05 18:33:00,AVE-MD,44.7,Turista con enlace,Promo +
2019-05-05 17:30:00,2019-05-05 21:33:00,ALVIA,55.8,Turista,Flexible
2019-05-05 22:14:00,2019-05-06 04:31:00,TRENHOTEL,45.8,Turista,Flexible
2019-05-04 12:20:00,2019-05-04 18:52:00,LD-MD,34.35,Turista con enlace,Promo +
2019-05-04 14:40:00,2019-05-04 18:52:00,LD,42.75,Turista con enlace,Promo +
2019-05-03 14:40:00,2019-05-03 18:33:00,AVE-MD,44.7,Turista con enlace,Promo +
2019-05-03 17:30:00,2019-05-03 21:33:00,ALVIA,55.8,Turista,Flexible
2019-05-02 12:20:00,2019-05-02 18:52:00,LD-MD,34.35,Turista con enlace,Promo +
2019-05-02 14:40:00,2019-05-02 18:33:00,AVE-MD,44.7,Turista con enlace,Promo +
2019-05-01 14:40:00,2019-05-01 18:33:00,AVE-MD,59.6,Turista con enlace,Flexible
2019-04-30 12:20:00,2019-04-30 18:52:00,LD-MD,34.35,Turista con enlace,Promo +
2019-04-30 14:40:00,2019-04-30 18:33:00,AVE-MD,59.6,Turista con enlace,Flexible
2019-04-30 17:30:00,2019-04-30 21:33:00,ALVIA,55.8,Turista,Flexible
2019-04-30 22:14:00,2019-05-01 04:31:00,TRENHOTEL,,,
2019-04-29 12:20:00,2019-04-29 18:52:00,LD-MD,34.35,Turista con enlace,Promo +
2019-04-29 14:40:00,2019-04-29 18:33:00,AVE-MD,38.75,Turista con enlace,Promo +
2019-04-29 17:30:00,2019-04-29 21:33:00,ALVIA,33.5,Turista,Promo
2019-04-29 22:14:00,2019-04-30 04:31:00,TRENHOTEL,45.8,Turista,Flexible
2019-04-20 12:20:00,2019-04-20 18:52:00,LD-MD,,Turista con enlace,Flexible
2019-04-20 14:40:00,2019-04-20 18:52:00,LD,,Turista con enlace,Flexible
2019-04-19 14:40:00,2019-04-19 18:33:00,AVE-MD,59.6,Turista con enlace,Flexible
