departure date,arrival date,train type,price,train class,fare
2019-04-25 17:40:00,2019-04-25 19:20:00,AVE,73.1,Turista,Flexible
2019-04-25 17:48:00,2019-04-25 21:58:00,INTERCITY,36.05,Turista Plus,Promo
2019-04-25 18:40:00,2019-04-25 20:20:00,AVE,73.1,Turista,Flexible
2019-04-25 19:40:00,2019-04-25 21:29:00,AVE,76.4,Preferente,Promo
2019-04-25 20:40:00,2019-04-25 22:24:00,AVE,73.1,Turista,Flexible
2019-04-25 21:10:00,2019-04-25 23:03:00,AVE,66.55,Preferente,Promo
2019-06-17 06:08:00,2019-06-17 12:55:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-17 12:21:00,2019-06-17 19:04:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-17 16:05:00,2019-06-17 22:47:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-16 06:20:00,2019-06-16 12:55:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-16 12:42:00,2019-06-16 19:04:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-16 16:30:00,2019-06-16 22:47:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-15 08:00:00,2019-06-15 14:10:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-15 16:30:00,2019-06-15 22:47:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-14 06:08:00,2019-06-14 12:55:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-14 12:21:00,2019-06-14 19:04:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-14 16:30:00,2019-06-14 22:47:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-13 06:08:00,2019-06-13 12:55:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-13 12:21:00,2019-06-13 19:04:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-13 16:05:00,2019-06-13 22:47:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-12 06:08:00,2019-06-12 12:55:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-12 12:21:00,2019-06-12 19:04:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-12 16:05:00,2019-06-12 22:47:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-11 06:08:00,2019-06-11 12:55:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-11 12:21:00,2019-06-11 19:04:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-11 16:05:00,2019-06-11 22:47:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-10 06:08:00,2019-06-10 12:55:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-10 12:21:00,2019-06-10 19:04:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-10 16:05:00,2019-06-10 22:47:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-09 06:20:00,2019-06-09 12:55:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-09 12:42:00,2019-06-09 19:04:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-09 16:30:00,2019-06-09 22:47:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-08 08:00:00,2019-06-08 14:10:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-08 16:30:00,2019-06-08 22:47:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-07 06:08:00,2019-06-07 12:55:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-07 12:21:00,2019-06-07 19:04:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-07 16:30:00,2019-06-07 22:47:00,REGIONAL,28.35,Turista,Adulto ida
2019-04-24 06:08:00,2019-04-24 12:55:00,REGIONAL,28.35,Turista,Adulto ida
2019-04-24 06:45:00,2019-04-24 08:38:00,AVE,33.65,Turista,Promo
2019-04-24 07:40:00,2019-04-24 09:20:00,AVE,73.1,Turista,Flexible
2019-04-24 09:10:00,2019-04-24 10:58:00,AVE,39.45,Turista,Promo
2019-04-24 09:40:00,2019-04-24 11:24:00,AVE,39.45,Turista,Promo
2019-04-24 10:40:00,2019-04-24 12:20:00,AVE,39.45,Turista,Promo
2019-04-24 11:10:00,2019-04-24 13:25:00,INTERCITY,29.9,Turista,Promo
2019-04-24 11:55:00,2019-04-24 13:35:00,AVE,33.65,Turista,Promo
2019-04-24 12:21:00,2019-04-24 19:04:00,REGIONAL,28.35,Turista,Adulto ida
2019-04-24 12:40:00,2019-04-24 14:20:00,AVE,27.8,Turista,Promo
2019-04-24 14:10:00,2019-04-24 16:03:00,AVE,39.45,Turista,Promo
2019-04-24 15:10:00,2019-04-24 16:52:00,AVE,39.45,Turista,Promo
2019-04-24 15:30:00,2019-04-24 22:31:00,AVE-MD,,Turista,Promo
2019-04-24 15:40:00,2019-04-24 17:22:00,AVE,57.75,Turista,Promo
2019-04-24 16:05:00,2019-04-24 22:47:00,REGIONAL,28.35,Turista,Adulto ida
2019-04-24 16:45:00,2019-04-24 18:50:00,ALVIA,71.0,Turista,Flexible
2019-04-24 16:55:00,2019-04-24 21:58:00,AVE-LD,,Turista,Flexible
2019-04-24 17:40:00,2019-04-24 19:20:00,AVE,73.1,Turista,Flexible
2019-04-24 17:48:00,2019-04-24 21:58:00,INTERCITY,,Turista,Flexible
2019-04-24 18:40:00,2019-04-24 20:20:00,AVE,73.1,Turista,Flexible
2019-04-24 19:40:00,2019-04-24 21:29:00,AVE,73.1,Turista,Flexible
2019-04-24 20:40:00,2019-04-24 22:24:00,AVE,51.15,Turista,Promo
2019-04-24 21:10:00,2019-04-24 23:03:00,AVE,45.3,Turista,Promo
2019-06-06 06:08:00,2019-06-06 12:55:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-06 12:21:00,2019-06-06 19:04:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-06 16:05:00,2019-06-06 22:47:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-05 06:08:00,2019-06-05 12:55:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-05 12:21:00,2019-06-05 19:04:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-05 16:05:00,2019-06-05 22:47:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-04 06:08:00,2019-06-04 12:55:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-04 12:21:00,2019-06-04 19:04:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-04 16:05:00,2019-06-04 22:47:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-03 06:08:00,2019-06-03 12:55:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-03 12:21:00,2019-06-03 19:04:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-03 16:05:00,2019-06-03 22:47:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-02 06:20:00,2019-06-02 12:55:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-02 08:40:00,2019-06-02 10:33:00,AVE,21.95,Turista,Promo
2019-06-02 09:40:00,2019-06-02 11:24:00,AVE,39.45,Turista,Promo
2019-06-02 10:40:00,2019-06-02 12:20:00,AVE,21.95,Turista,Promo
2019-06-02 11:10:00,2019-06-02 13:25:00,INTERCITY,29.9,Turista,Promo
2019-06-02 11:55:00,2019-06-02 13:35:00,AVE,33.65,Turista,Promo
2019-06-02 12:42:00,2019-06-02 19:04:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-02 14:10:00,2019-06-02 16:03:00,AVE,45.3,Turista,Promo
2019-06-02 15:30:00,2019-06-02 22:31:00,AVE-MD,71.0,Turista con enlace,Flexible
2019-06-02 15:40:00,2019-06-02 17:22:00,AVE,45.3,Turista,Promo
2019-06-02 16:30:00,2019-06-02 22:47:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-02 16:55:00,2019-06-02 21:58:00,AVE-LD,56.1,Turista con enlace,Flexible
2019-06-02 17:10:00,2019-06-02 18:54:00,AVE,66.55,Preferente,Promo
2019-06-02 17:48:00,2019-06-02 21:58:00,INTERCITY,30.9,Turista Plus,Promo
2019-06-02 18:40:00,2019-06-02 20:20:00,AVE,66.55,Preferente,Promo
2019-06-02 19:40:00,2019-06-02 21:29:00,AVE,51.15,Turista,Promo
2019-06-02 20:40:00,2019-06-02 22:24:00,AVE,39.45,Turista,Promo
2019-06-02 21:10:00,2019-06-02 23:03:00,AVE,33.65,Turista,Promo
2019-06-01 08:00:00,2019-06-01 14:10:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-01 08:40:00,2019-06-01 10:33:00,AVE,45.3,Turista,Promo
2019-06-01 09:40:00,2019-06-01 11:24:00,AVE,36.15,Preferente,Promo
2019-06-01 10:40:00,2019-06-01 12:20:00,AVE,33.65,Turista,Promo
2019-06-01 11:10:00,2019-06-01 13:25:00,INTERCITY,29.9,Turista,Promo
2019-06-01 11:55:00,2019-06-01 13:35:00,AVE,27.8,Turista,Promo
2019-06-01 14:10:00,2019-06-01 16:03:00,AVE,39.45,Turista,Promo
2019-06-01 15:30:00,2019-06-01 22:31:00,AVE-MD,71.0,Turista con enlace,Flexible
2019-06-01 15:40:00,2019-06-01 17:22:00,AVE,33.65,Turista,Promo
2019-06-01 16:30:00,2019-06-01 22:47:00,REGIONAL,28.35,Turista,Adulto ida
2019-06-01 17:40:00,2019-06-01 19:20:00,AVE,39.45,Turista,Promo
2019-06-01 19:40:00,2019-06-01 21:29:00,AVE,45.3,Turista,Promo
2019-06-01 21:10:00,2019-06-01 23:03:00,AVE,33.65,Turista,Promo
2019-05-31 06:08:00,2019-05-31 12:55:00,REGIONAL,28.35,Turista,Adulto ida
2019-05-31 06:45:00,2019-05-31 08:38:00,AVE,33.65,Turista,Promo
2019-05-31 09:10:00,2019-05-31 10:58:00,AVE,45.3,Turista,Promo
2019-05-31 09:40:00,2019-05-31 11:24:00,AVE,39.45,Turista,Promo
2019-05-31 10:40:00,2019-05-31 12:20:00,AVE,39.45,Turista,Promo
2019-05-31 11:10:00,2019-05-31 13:25:00,INTERCITY,34.35,Turista,Promo
2019-05-31 12:21:00,2019-05-31 19:04:00,REGIONAL,28.35,Turista,Adulto ida
2019-05-31 12:40:00,2019-05-31 14:20:00,AVE,51.15,Turista,Promo
2019-05-31 14:10:00,2019-05-31 16:03:00,AVE,45.3,Turista,Promo
2019-05-31 15:10:00,2019-05-31 17:20:00,INTERCITY,38.8,Turista,Promo
2019-05-31 15:30:00,2019-05-31 22:31:00,AVE-MD,71.0,Turista con enlace,Flexible
2019-05-31 15:40:00,2019-05-31 17:22:00,AVE,57.75,Turista,Promo
2019-05-31 16:30:00,2019-05-31 22:47:00,REGIONAL,28.35,Turista,Adulto ida
2019-05-31 16:55:00,2019-05-31 21:58:00,AVE-LD,56.1,Turista con enlace,Flexible
2019-05-31 17:10:00,2019-05-31 18:54:00,AVE,66.55,Preferente,Promo
2019-05-31 17:40:00,2019-05-31 19:20:00,AVE,57.75,Turista,Promo
2019-05-31 17:48:00,2019-05-31 21:58:00,INTERCITY,36.05,Turista Plus,Promo
2019-05-31 18:10:00,2019-05-31 19:50:00,AVE,57.75,Turista,Promo
2019-05-31 18:40:00,2019-05-31 20:20:00,AVE,57.75,Turista,Promo
2019-05-31 19:40:00,2019-05-31 21:29:00,AVE,51.15,Turista,Promo
2019-05-31 20:40:00,2019-05-31 22:24:00,AVE,45.3,Turista,Promo
2019-05-31 21:10:00,2019-05-31 23:03:00,AVE,45.3,Turista,Promo
2019-05-30 06:08:00,2019-05-30 12:55:00,REGIONAL,28.35,Turista,Adulto ida
2019-05-30 06:45:00,2019-05-30 08:38:00,AVE,27.8,Turista,Promo
2019-05-30 07:40:00,2019-05-30 09:20:00,AVE,57.75,Turista,Promo
2019-05-30 09:10:00,2019-05-30 10:58:00,AVE,51.15,Turista,Promo
2019-05-30 09:40:00,2019-05-30 11:24:00,AVE,39.45,Turista,Promo
2019-05-30 10:40:00,2019-05-30 12:20:00,AVE,21.95,Turista,Promo
2019-05-30 11:10:00,2019-05-30 13:25:00,INTERCITY,16.6,Turista,Promo
2019-05-30 11:55:00,2019-05-30 13:35:00,AVE,21.95,Turista,Promo
2019-05-30 12:21:00,2019-05-30 19:04:00,REGIONAL,28.35,Turista,Adulto ida
2019-05-30 12:40:00,2019-05-30 14:20:00,AVE,33.65,Turista,Promo
2019-05-30 14:10:00,2019-05-30 16:03:00,AVE,33.65,Turista,Promo
2019-05-30 15:10:00,2019-05-30 16:52:00,AVE,39.45,Turista,Promo
2019-05-30 15:30:00,2019-05-30 22:31:00,AVE-MD,71.0,Turista con enlace,Flexible
2019-05-30 15:40:00,2019-05-30 17:22:00,AVE,57.75,Turista,Promo
2019-05-30 16:05:00,2019-05-30 22:47:00,REGIONAL,28.35,Turista,Adulto ida
